Object Number,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags
62.16,1674,American Decorative Arts,Side Chair,Side Chair,American,,,,,Maker,Attributed to,Samuel McIntire,1757–1811,,,1757,1811,1794–99,1794,1799,"Mahogany, ebony, ash, birch, white pine",37 7/8 x 27 7/8 x 18 in. (96.2 x 70.8 x 45.7 cm),"Friends of the American Wing Fund, 1962",Made in,Salem,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/1674,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Chairs
13.7.17,2430,American Decorative Arts,Pitcher,Covered Pitcher,American,,,,,,,,,,,,,1700–1900,1700,1900,Earthenware,7 1/4 x 6 3/8 x 5 1/2 in. (18.4 x 16.2 x 14 cm),"Rogers Fund, 1913",Made in,,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/2430,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Pitchers
33.85.11,6406,American Decorative Arts,Plate,Plate,Dutch,,,,,,,,,,,,,1740–60,1740,1760,Earthenware,Diam. 8 7/8 in. (22.5 cm),"Rogers Fund, 1933",Made in,Delft,,,Netherlands,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6406,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
69.194.109,7616,American Decorative Arts,Soup bowl,Soup Bowl,American,,,,,Maker,,Union Porcelain Works,1863–ca. 1922,,,1863,1922,1885,1885,1885,Porcelain,H. 1 7/16 in. (3.7 cm); Diam. 8 3/4 in. (22.2 cm),"Gift of Mr. and Mrs. Franklin Chace, 1969",Made in,Brooklyn,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/7616,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Bowls
2006.235.20,15012,American Decorative Arts,"Painting, miniature",Portrait of a Lady,American,,,,,Artist,,John Henry Brown,1818–1891,,,1818,1891,ca. 1840,1840,1840,Watercolor on ivory,2 11/16 x 2 3/16 in. (6.8 x 5.6 cm),"Fletcher Fund, 2006",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/15012,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Pendants|Portraits|Women
32.75.439,23510,Arms and Armor,Arrowhead (Yanonē),Arrowhead (Yanonē),Japanese,,,,,,,,,,,,,18th century,1701,1800,Steel,L. 11 in. (27.9 cm); L. of head 3 1/2 in. (8.9 cm); W. 3/4 in. (1.9 cm); Wt. 1.8 oz. (51 g),"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",,,,,,,,,,,,Archery Equipment-Arrowheads,,http://www.metmuseum.org/art/collection/search/23510,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Arrowheads
36.120.286,29920,Arms and Armor,Knife handle (Kozuka),Knife Handle (Kozuka),Japanese,,,,,,,,,,,,,1770–1852,1770,1852,"Copper-gold alloy (shakudō), copper-silver alloy (shibuichi), gold",L. 3 13/16 in. (9.7 cm); W. 9/16 in. (1.4 cm); thickness 5/16 in. (0.8 cm); Wt. 1.1 oz. (31.2 g),"The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",,,,,,,,,,,,Sword Furniture-Kozuka,,http://www.metmuseum.org/art/collection/search/29920,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Animals|Hilts
23.135.3,32848,Arms and Armor,Coin (Thaler),Coin (Thaler) Showing August I (The Pious) of Saxony,German,,,,,,,,,,,,,dated 1580,1580,1580,Silver,Diam. 1 9/16 in. (4 cm); thickness 1/8 in. (0.3 cm); Wt. 1 oz. (28.3 g),"Gift of Bashford Dean, 1923",,,,,,,,,,,,Miscellaneous-Coins and Medals,,http://www.metmuseum.org/art/collection/search/32848,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Swords|Men|Profiles|Coins
"29.158.740a, b",34014,Arms and Armor,Two drawings,Drawings Showing Combat on Foot (Champ Clos),German,,,,,,,,,,,,,16th century,1501,1600,"Pen, ink and watercolor on paper",7 1/2 x 5 1/2 in. (19 x 13.9 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,,,,,,,,,,,Works on Paper-Drawings,,http://www.metmuseum.org/art/collection/search/34014,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Armor|Weapons|Men
29.156.26,34308,Arms and Armor,Partisan,Partisan,German,,,,,,,,,,,,,18th century,1701,1800,"Steel, wood, textile, metallic thread",L. 92 1/8 in. (234 cm); L. of head 15 3/8 in. (39.1 cm); W. 6 3/4 in. (17.1 cm); Wt. 4 lbs. 4.5 oz. (1941.9 g),"Bashford Dean Memorial Collection, Gift of Edward S. Harkness, 1929",,,,,,,,,,,,Shafted Weapons,,http://www.metmuseum.org/art/collection/search/34308,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Weapons
29.100.1067,34477,Arms and Armor,Sword guard (Tsuba),Sword Guard (Tsuba),Japanese,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Iron, gold, silver, copper",H. 3 1/4 in. (8.3 cm); W. 3 in. (7.6 cm); thickness 1/4 in. (0.6 cm); Wt. 5.6 oz. (158.8 g),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Sword Furniture-Tsuba,,http://www.metmuseum.org/art/collection/search/34477,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Sword Guards|Flowers
"91.16.91a, b",35163,Arms and Armor,Dirk with sheath,Dirk with Sheath,possibly Spanish,,,,,,,,,,,,,early 19th century,1800,1850,"Steel, horn, brass, leather, copper wire",L. with sheath 11 1/4 in. (28.6 cm); L. without sheath 10 5/8 in. (27 cm); W. 1 7/8 in. (4.8 cm); Wt. 5.5 oz. (155.9 g); Wt. of sheath 1 oz. (28.3 g),"Gift of Rutherfurd Stuyvesant, 1891",,,,,,,,,,,,Knives,,http://www.metmuseum.org/art/collection/search/35163,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Utilitarian Objects|Knives
1989.363.3,39917,Asian Art,Hanging scroll mounted as handscroll,,China,Song dynasty (960–1279),,,,Artist|Artist,After,Su Shi|Unidentified Artist,"Chinese, 1037–1101",,Chinese,1037,1101,,1037,1101,Hanging scroll mounted as a handscroll; ink on paper,Image: 21 3/8 in. × 13 in. (54.3 × 33 cm)Overall with mounting: 14 3/4 in. × 34 ft. 10 3/16 in. (37.5 × 1062.2 cm),"Bequest of John M. Crawford Jr., 1988",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/39917,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Leaves
13.40.137,43092,Asian Art,Girdle ornament,,China,Han dynasty (206 B.C.–A.D. 220),,,,,,,,,,,,,-206,,Jade,H. 2 3/8 in. (6 cm); W. 1 3/8 in. (3.5 cm),"Gift of Samuel T. Peters, 1913",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43092,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Jewelry|Mythical Creatures
2001.433.180,53280,Asian Art,Bracelet,,Thailand,Late period,,,,,,,,,,,,300 B.C.–A.D. 400,-300,400,Bronze,H. 3 5/16 in. (8.4 cm); W. 2 9/16 in. (6.5 cm),"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998",,,,,,,,,,,,Jewelry,,http://www.metmuseum.org/art/collection/search/53280,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Bracelets
JP1965,54547,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,,Yashima Gakutei,"Japanese, 1786?–1868",,Japanese,1786,1868,19th century,1800,1899,Polychrome woodblock print (surimono); ink and color on paper,8 5/16 x 7 3/8 in. (21.1 x 18.7 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/54547,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Dance|Men|Women
14.76.61.20,54626,Asian Art,Album leaf,,Japan,Meiji period (1868–1912),,,,Artist,,Kawanabe Kyōsai,"Japanese, 1831–1889",,Japanese,1831,1889,ca. 1887,1877,1897,Album leaf; ink and color on silk,14 1/8 x 10 5/8 in. (35.9 x 27 cm),"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/54626,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Cats|Frogs|Plants
JP1412,55442,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,,Yashima Gakutei,"Japanese, 1786?–1868",,Japanese,1786,1868,1838,1838,1838,Polychrome woodblock print; ink and color on paper,H. 10 1/8 in. (25.7 cm); W. 14 15/16 in. (37.9 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/55442,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Bridges|Men|Moon|Trees|Boats
36.100.217,58899,Asian Art,Inrō,,Japan,,,,,,,,,,,,,19th century,1800,1899,"Lacquer, hirame ground, gold, red, silver and brown hiramakie, raden inlay; Interior: nashiji and fundame",3 1/2 x 3 11/16 x 13/16 in. (8.9 x 9.3 x 2 cm),"The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",,,,,,,,,,,,Inrō,,http://www.metmuseum.org/art/collection/search/58899,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Masks|Armor|Helmets
91.1.2074,62174,Asian Art,Basket,,Japan,,,,,,,,,,,,,19th century,1800,1899,Bamboo,H. 11 1/4  in. (59.7 cm); Diam. 10 1/2 in. (26.7 cm),"Edward C. Moore Collection, Bequest of Edward C. Moore, 1891",,,,,,,,,,,,Basketry,,http://www.metmuseum.org/art/collection/search/62174,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
09.50.3297,67976,Asian Art,Piece,,Japan,,,,,,,,,,,,,19th century,1800,1899,Silk / Brocaded,7 3/4 x 5 1/2 in. (19.68 x 13.97 cm),"Rogers Fund, 1909",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/67976,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
2005.509.32,72803,Asian Art,Hanging scroll,近代  蟬竹圖      軸|Bamboo and Cicada,China,Republic period,,,,Artist,,Zhao Shao'ang,"Chinese, 1905–1998",,Chinese,1905,1998,dated 1966,1966,1966,Hanging scroll; ink and color on paper,Image: 32 1/2 x 14 3/16 in. (82.5 x 36 cm)Overall with rollers: 38 1/2 x 24 5/8 in. (97.8 x 62.5 cm),"The Lin Yutang Family Collection, Gift of Richard M. Lai, Jill Lai Miller, and Larry C. Lai, in memory of Taiyi Lin Lai, 2005",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/72803,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Insects|Bamboo
2011.576.8,77166,Asian Art,Drawing,,"India (Guler, Punjab Hills)",,,,,,,,,,,,,ca. 1800,1790,1810,Ink on paper,Image: 9 7/8 x 6 3/4 in. (25.1 x 17.1 cm),"Gift of Cynthia Hazen Polsky, 2011",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/77166,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Battles|Soldiers|Firearms|Horse Riding|Elephants
1993.154.1,80735,Costume Institute,Belt,Belt,Japanese,,,,,Designer|Design House,,Issey Miyake|Miyake Design Studio,"Japanese, born 1938|Japanese",,Japanese|Japanese,1938,2038,mid-1980s,1983,1987,"leather, metal",,"Gift of Linda A. Rosenthal, 1993",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/80735,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Belts
"1999.248.25a, b",81291,Costume Institute,Pumps,Pumps,British,,,,,Designer,,Patrick Cox,"British, born Canada, 1963",,British,1963,2063,1980s,1980,1989,leather,,"Gift of Holly Solomon, 1999",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/81291,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
"1998.508.60a, b",81451,Costume Institute,Evening dress,Evening dress,American,,,,,Designer|Design House,,"Calvin Klein|Calvin Klein, Inc.","American, born Bronx, New York, 1942|American, founded 1968",,American|American,1942-11-19|1968      ,2042      |9999      ,fall/winter 1983–84,1983,1984,rayon,,"Gift of Calvin Klein, Inc., 1998",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/81451,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Dresses
"2002.199.10a, b",83780,Costume Institute,Shoes,Shoes,Italian,,,,,Designer,,Casadei,"Italian, founded 1958",,Italian,1958,9999,mid-1980s,1983,1989,synthetic,,"Gift of Muriel Kallis Newman, 2002",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/83780,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
"09.37.2a, b",90373,Costume Institute,Earrings,Earrings,"European, Eastern",,,,,,,,,,,,,18th century–19th century,1700,1899,metal,,"Rogers Fund, 1909",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/90373,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Earrings
1975.145.6,96100,Costume Institute,Evening dress,Evening dress,French,,,,,Designer,,Pierre Cardin,"French, born San Biagio di Callalta, Italy, 1922",,"French, born Italy",2/7/1922,2022,1966–67,1966,1967,[no medium available],,"Gift of Mrs. William Rand, 1975",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/96100,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Dresses
X.278,98251,Costume Institute,Cap,Cap,probably French,,,,,,,,,,,,,19th century,1800,1899,wool,,Museum Accession,,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/98251,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
1981.151.23,100359,Costume Institute,Hat,Hat,French,,,,,Designer|Design House,,Christian Dior|House of Dior,"French, Granville 1905–1957 Montecatini|French, founded 1947",,French|French,1905      |1947      ,1957      |9999      ,1949,1949,1949,"wool, cotton",,"Gift of Mary S. Ryan, 1981",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/100359,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Hats
1981.151.23,100359,Costume Institute,Hat,Hat,French,,,,,Designer|Design House,,Christian Dior|House of Dior,"French, Granville 1905–1957 Montecatini|French, founded 1947",,French|French,1905      |1947      ,1957      |9999      ,1949,1949,1949,"wool, cotton",,"Gift of Mary S. Ryan, 1981",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/100359,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Hats
"1977.287.19a, b",114490,Costume Institute,Mules,Mules,American,,,,,Design House,,Herbert Levine Inc.,"American, founded 1949",,American,1949,9999,1959,1959,1959,"leather, wood, metal glass",,"Gift of Beth and Herbert Levine, 1977",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/114490,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
"1980.185.7a, b",119757,Costume Institute,Gloves,Gloves,probably French,,,,,,,,,,,,,1950s,1950,1959,leather,,"Gift of Mrs. Stowe C. Phelps, 1980",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/119757,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Gloves
C.I.39.91.1a–d,127104,Costume Institute,Ensemble,Ensemble,Romanian,,,,,,,,,,,,,1800–1939,1800,1939,"linen, wool",,"Gift of Miss Irene Lewisohn and Alice Lewisohn Crowley, 1939",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/127104,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
"2006.253.17a, b",129839,Costume Institute,Ensemble,Ensemble,British,,,,,Designer|Designer,,Vivienne Westwood|Malcolm McLaren,"British, born 1941|British, London 1946–2010 Switzerland",,British|British,1941      |1946-01-22,2041      |2010-04-08,1976–80,1976,1980,"a) leather; b) leather, metal",,"Purchase, Richard Martin Bequest and Friends of The Costume Institute Gifts, 2006",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/129839,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
2017.113.336,145237,Costume Institute,Necklace,Necklace,American,,,,,Designer,,Giorgio di Sant'Angelo,"American, born Italy, 1933–1989",,,1933,1989,1967,1967,1967,"synthetic, metal",,"Gift of Martin F. Price, 2017",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/145237,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Necklaces
2008.311,146150,Costume Institute,Jacket,Jacket,American,,,,,Designer,,Rick Owens,"American, born 1961",,American,1961,2061,fall/winter 2003–4,2003,2004,"leather, wool",,"Catharine Breyer Van Bomel Foundation Fund, 2008",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/146150,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Jackets
2009.300.4351,168579,Costume Institute,Chemisette,Chemisette,American,,,,,,,,,,,,,fourth quarter 19th century,1875,1899,Cotton,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Louise M. Coleman, 1941",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/168579,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
2009.300.4588,168781,Costume Institute,Fan,Fan,European,,,,,,,,,,,,,fourth quarter 18th century,1776,1799,"Ivory, paper",,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of George Arents in memory of Annie Walter Arents, 1949",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/168781,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Putti|Children|Women
"2009.300.5715a, b",169926,Costume Institute,Undersleeves,Undersleeves,American,,,,,,,,,,,,,ca. 1850,1848,1852,Linen,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of The Jason and Peggy Westerfield Collection, 1969",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/169926,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
"2009.300.5836a, b",170041,Costume Institute,Evening shoes,Evening shoes,American,,,,,Manufacturer,,J. & J. Slater,American,,American,,,1938–43,1938,1943,"Leather, metallic",,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Colonel and Mrs. Horace Figuers, 1973",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/170041,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
"2009.300.7375a, b",174460,Costume Institute,Ensemble,Ensemble,American,,,,,Maker,,F. L. Dunne & Company,American,,American,,,1950,1950,1950,Wool,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Albert Ogden in memory of Sheldon Stewart, 1964",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/174460,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
93.13.85–.87,187639,European Sculpture and Decorative Arts,Knife and fork with case,Knife and fork with case,possibly Greek,,,,,,,,,,,,,first half 18th century,1700,1750,"Steel, silver, niello; case:  leather, silver, niello",Length (case .85): 6 7/8 in. (17.5 cm);Length (knife .86): 6 7/8 in. (17.5 cm);Length (fork .87): 6 1/8 in. (15.6 cm),"Gift of R. Stuyvesant, 1893",,,,,,,,,,,,Metalwork-Steel,,http://www.metmuseum.org/art/collection/search/187639,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Cutlery
07.225.510.461a–e,190199,European Sculpture and Decorative Arts,Swags,Set of five swags,French,,,,,,,,,,,,,18th century,1700,1799,Gilt bronze,Length (.461a): 4 1/2 in. (11.4 cm);Length (.461b): 4 1/4 in. (10.8 cm);Length (.461c): 3 7/8 in. (9.8 cm);Length (.461d): 4 1/2 in. (11.4 cm);Length (.461e): 7 1/2 in. (19.1 cm),"Gift of J. Pierpont Morgan, 1906",,,,,,,,,,,,Metalwork-Gilt Bronze,,http://www.metmuseum.org/art/collection/search/190199,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
"20.62.1a, b",194582,European Sculpture and Decorative Arts,Jug with cover,Jug with cover,"German, Silesia (Bunzlau)",,,,,,,,,,,,,ca. 1760,1755,1765,Stoneware,Height: 6 1/2 in. (16.5 cm),"Gift of Mrs. Robert W. de Forest, 1920",,,,,,,,,,,,Ceramics-Pottery,,http://www.metmuseum.org/art/collection/search/194582,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Flowers|Leaves|Jugs
