Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
1674,American Decorative Arts,Side Chair,Side Chair,American,American,1794,1799,"Mahogany, ebony, ash, birch, white pine","Friends of the American Wing Fund, 1962",United States
2430,American Decorative Arts,Pitcher,Covered Pitcher,American,American,1700,1900,Earthenware,"Rogers Fund, 1913",United States
6406,American Decorative Arts,Plate,Plate,Dutch,Dutch,1740,1760,Earthenware,"Rogers Fund, 1933",Netherlands
7616,American Decorative Arts,Soup bowl,Soup Bowl,American,American,1885,1885,Porcelain,"Gift of Mr. and Mrs. Franklin Chace, 1969",United States
15012,American Decorative Arts,"Painting, miniature",Portrait of a Lady,American,American,1840,1840,Watercolor on ivory,"Fletcher Fund, 2006",United States
23510,Arms and Armor,Arrowhead (Yanonē),Arrowhead (Yanonē),Japan,Japanese,1701,1800,Steel,"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",Japan
29920,Arms and Armor,Knife handle (Kozuka),Knife Handle (Kozuka),Japan,Japanese,1770,1852,"Copper-gold alloy (shakudō), copper-silver alloy (shibuichi), gold","The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",Japan
32848,Arms and Armor,Coin (Thaler),Coin (Thaler) Showing August I (The Pious) of Saxony,German,German,1580,1580,Silver,"Gift of Bashford Dean, 1923",Germany
34014,Arms and Armor,Two drawings,Drawings Showing Combat on Foot (Champ Clos),German,German,1501,1600,"Pen, ink and watercolor on paper","Bashford Dean Memorial Collection, Funds from various donors, 1929",Germany
34308,Arms and Armor,Partisan,Partisan,German,German,1701,1800,"Steel, wood, textile, metallic thread","Bashford Dean Memorial Collection, Gift of Edward S. Harkness, 1929",Germany
34477,Arms and Armor,Sword guard (Tsuba),Sword Guard (Tsuba),Japan,Japanese,1590,1900,"Iron, gold, silver, copper","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",Japan
35163,Arms and Armor,Dirk with sheath,Dirk with Sheath,Spanish,Spanish,1800,1850,"Steel, horn, brass, leather, copper wire","Gift of Rutherfurd Stuyvesant, 1891",Spain 
39917,Asian Art,Hanging scroll mounted as handscroll,Bamboo and Cicada,China,Chinese,1037,1101,Hanging scroll mounted as a handscroll; ink on paper,"Bequest of John M. Crawford Jr., 1988",China
43092,Asian Art,Girdle ornament,Girdle ornament,China,Chinese,-206,220,Jade,"Gift of Samuel T. Peters, 1913",China
53280,Asian Art,Bracelet,Bracelet,Thailand,Thailand,-300,400,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998",Thailand
54547,Asian Art,Print,Print,Japan,Japanese,1800,1899,Polychrome woodblock print (surimono); ink and color on paper,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",Japan
54626,Asian Art,Album leaf,Letter,Japan,Japanese,1877,1897,Album leaf; ink and color on silk,"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",Japan
55442,Asian Art,Print,Print,Japan,Japanese,1838,1838,Polychrome woodblock print; ink and color on paper,"Rogers Fund, 1922",Japan
58899,Asian Art,Inrō,InrA,Japan,Japanese,1800,1899,"Lacquer, hirame ground, gold, red, silver and brown hiramakie, raden inlay; Interior: nashiji and fundame","The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",Japan
62174,Asian Art,Basket,Basket,Japan,Japanese,1800,1899,Bamboo,"Edward C. Moore Collection, Bequest of Edward C. Moore, 1891",Japan
67976,Asian Art,Piece,Piece,Japan,Japanese,1800,1899,Silk / Brocaded,"Rogers Fund, 1909",Japan
72803,Asian Art,Hanging scroll,Bamboo and Cicada,China,Chinese,1966,1966,Hanging scroll; ink and color on paper,"The Lin Yutang Family Collection, Gift of Richard M. Lai, Jill Lai Miller, and Larry C. Lai, in memory of Taiyi Lin Lai, 2005",China
77166,Asian Art,Drawing,Skirmish with an Elephant,Indian,Indian,1790,1810,Ink on paper,"Gift of Cynthia Hazen Polsky, 2011",India
80735,Costume Institute,Belt,Belt,Japan,Japanese,1983,1987,"leather, metal","Gift of Linda A. Rosenthal, 1993",Japan
81291,Costume Institute,Pumps,Pumps,British,British,1980,1989,leather,"Gift of Holly Solomon, 1999",United Kingdom
81451,Costume Institute,Evening dress,Evening dress,American,American,1983,1984,rayon,"Gift of Calvin Klein, Inc., 1998",United States
83780,Costume Institute,Shoes,Shoes,Italian,Italian,1983,1989,synthetic,"Gift of Muriel Kallis Newman, 2002",Italy
90373,Costume Institute,Earrings,Earrings,European,European,1700,1899,metal,"Rogers Fund, 1909",Europe
96100,Costume Institute,Evening dress,Evening dress,French,French,1966,1967,[no medium available],"Gift of Mrs. William Rand, 1975",France
98251,Costume Institute,Cap,Cap,French,French,1800,1899,wool,Museum Accession,France
100359,Costume Institute,Hat,Hat,French,French,1949,1949,"wool, cotton","Gift of Mary S. Ryan, 1981",France
114490,Costume Institute,Mules,Mules,American,American,1959,1959,"leather, wood, metal glass","Gift of Beth and Herbert Levine, 1977",United States
119757,Costume Institute,Gloves,Gloves,French,French,1950,1959,leather,"Gift of Mrs. Stowe C. Phelps, 1980",France
127104,Costume Institute,Ensemble,Ensemble,Romanian,Romanian,1800,1939,"linen, wool","Gift of Miss Irene Lewisohn and Alice Lewisohn Crowley, 1939",Romania
129839,Costume Institute,Ensemble,Ensemble,British,British,1976,1980,"a) leather; b) leather, metal","Purchase, Richard Martin Bequest and Friends of The Costume Institute Gifts, 2006",United Kingdom
145237,Costume Institute,Necklace,Necklace,American,American,1967,1967,"synthetic, metal","Gift of Martin F. Price, 2017",United States
146150,Costume Institute,Jacket,Jacket,American,American,2003,2004,"leather, wool","Catharine Breyer Van Bomel Foundation Fund, 2008",United States
168579,Costume Institute,Chemisette,Chemisette,American,American,1875,1899,Cotton,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Louise M. Coleman, 1941",United States
168781,Costume Institute,Fan,Fan,European,European,1776,1799,"Ivory, paper","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of George Arents in memory of Annie Walter Arents, 1949",Europe
169926,Costume Institute,Undersleeves,Undersleeves,American,American,1848,1852,Linen,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of The Jason and Peggy Westerfield Collection, 1969",United States
170041,Costume Institute,Evening shoes,Evening shoes,American,American,1938,1943,"Leather, metallic","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Colonel and Mrs. Horace Figuers, 1973",United States
174460,Costume Institute,Ensemble,Ensemble,American,American,1950,1950,Wool,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Albert Ogden in memory of Sheldon Stewart, 1964",United States
187639,European Sculpture and Decorative Arts,Knife and fork with case,Knife and fork with case,Greek,Greek,1700,1750,"Steel, silver, niello; case:  leather, silver, niello","Gift of R. Stuyvesant, 1893",Greece
190199,European Sculpture and Decorative Arts,Swags,Set of five swags,French,French,1700,1799,Gilt bronze,"Gift of J. Pierpont Morgan, 1906",France
194582,European Sculpture and Decorative Arts,Jug with cover,Jug with cover,German,German,1755,1765,Stoneware,"Gift of Mrs. Robert W. de Forest, 1920",Germany
198408,European Sculpture and Decorative Arts,Plaque,Marriage of Peleus and Thetis,Italian,Italian,1570,1580,Bronze,"Samuel D. Lee Fund, 1939",Italy
200381,European Sculpture and Decorative Arts,Snuffbox,Snuffbox,German,German,1770,1780,Gold,"Bequest of Catherine D. Wentworth, 1948",Germany
201480,European Sculpture and Decorative Arts,Chess set,Chess set,German,German,1800,1899,Metal,"Gift of Gustavus A. Pfeiffer, 1953",Germany
203525,European Sculpture and Decorative Arts,Toy,Partridges in wheatsheaf,British,British,1750,1760,Soft-paste porcelain,"Gift of Irwin Untermyer, 1964",United Kingdom
211642,European Sculpture and Decorative Arts,Souvenir spoon,Souvenir spoon,European,European,1885,1899,Gilt and enamel,"Gift of Sir William H. Redding, in memory of his wife, 1907",Europe
218086,European Sculpture and Decorative Arts,Border,Border,Italian,Italian,1600,1699,Needle lace,"Purchase by subscription, 1909",Italy
218343,European Sculpture and Decorative Arts,Fragment,Fragment,Spanish,Spanish,1800,1815,Machine net,"Purchase by subscription, 1909",Spain 
226057,European Sculpture and Decorative Arts,Borders,Borders,French,French,1700,1815,Needle lace,"Gift of Ann Payne Blumenthal, 1936",France
229526,European Sculpture and Decorative Arts,Panel,Panel,French,French,1775,1780,Silk,"Gift of Mrs. Janet S. Kaffenburgh in memory of her grandmother Mrs. Joseph Garson of Rochester, N.Y., 1976",France
236638,European Sculpture and Decorative Arts,Plaque,Head described as that of Saint James the Elder,German,German,1800,1899,Iron,"Gift of Martin and Roberta Lerner, 2009",Germany
241148,Greek and Roman Art,Statuette of a seated goddess,Terracotta statuette of a seated goddess,Turkish,Cypriot,-325,-275,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",Cyprus
244271,Greek and Roman Art,Axehead,Axehead,Turkish,Cypriot,-3200,-2000,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",Cyprus
246324,Greek and Roman Art,"Fibula, boat-shaped type","Fibula, boat-shaped type",Italian,Italian,-800,-501,Bronze,"Purchase, 1896",Italy
250722,Greek and Roman Art,"Statuette of a woman, seated",Terracotta statuette of a seated woman,Greek,Greek,-524,-475,Terracotta,"Gift of Henry S. Washington, 1919",Greece
252173,Greek and Roman Art,Seal,Jasper amygdaloid seal,Minoan,Minoan,-1600,-1450,Jasper,"Bequest of Richard B. Seager, 1926",Greece
252221,Greek and Roman Art,Seal,Seal,Minoan,Minoan,-2000,-1450,Haemaetite,"Bequest of Richard B. Seager, 1926",Greece
262991,Photographs,Photograph,[Detail of Vanitas Figures Carved on the Choir Stalls at Amiens Cathedral],French,French,1860,1869,Albumen silver print from glass negative,"Gift of Lucien Goldschmidt, 1981",France
263514,Photographs,Photograph,Robert Motherwell,American,American,1981,1981,Gelatin silver print,"Gift of the artist, 1983",United States
265758,Photographs,Photograph,[Graffiti on Backstage Door of the School of American Ballet],American,American,1945,1945,Gelatin silver print,"Gift of Paul F. Walter, in memory of Christopher Hemphill, 1987",United States
266167,Photographs,Photograph,[Study of Australian Grapes],French,French,1858,1862,Albumen silver print from glass negative,"Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 1989",France
269735,Photographs,Photograph,Sous bois,Belgian,Belgian,1922,1922,Bromoil print,"Gift of Clarence McK. Lewis, 1954",Belgium
271904,Photographs,Glass positive,Margaret Eakins,American,American,1880,1889,Glass positive ,"Gift of Charles Bregler, 1947",United States
273592,Photographs,Negative,[Peggy Bacon],American,American,1934,1934,Film negative,"Walker Evans Archive, 1994",United States
276937,Photographs,Negative,"[Two 35mm Film Frames: Boys Playing on Stoop Near Elevated Train Tracks, New York City]",American,American,1933,1934,Film negative,"Walker Evans Archive, 1994",United States
286197,Photographs,Photograph,"Rouen, Place Eau-de-Robec",French,French,1908,1908,Matte albumen silver print from glass negative,"Gilman Collection, Purchase, Sam Salz Foundation Gift, 2005",France
311479,"Arts of Africa, Oceania, and the Americas",Horn,Horn,Asmat people,Asmat,1900,2000,Bamboo,"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",Indonesia
312687,"Arts of Africa, Oceania, and the Americas",Snake figure,Coiled Serpent,Aztec,Aztec,1400,1600,"Stone, pigment","The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Mexico
313019,"Arts of Africa, Oceania, and the Americas",Pendant,Figure Pendant,Atlantic Watershed,Atlantian,300,800,Jadeite,"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Costa Rica
316760,"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,Abelam,1900,2000,"Paper, paint","Gift of Lita Osmundsen, 1992",Papua New Guinea
317005,Not Avilable,Cloth,Carrying Cloth,Quechua,Quechua,1900,2000,Camelid hair,"Bequest of Arthur M. Bullowa, 1993  ",Peru
317135,"Arts of Africa, Oceania, and the Americas",Ritual stone,Stone Pulidor,Mexican,Mexican,1200,1600,Stone,"Bequest of Arthur M. Bullowa, 1993  ",Mexico
319532,"Arts of Africa, Oceania, and the Americas",Costume element,Ceremonial Costume Element,Timor,Timor,1850,1950,"Cotton, glass beads","Bequest of John B. Elliott, 1997",Indonesia
323644,Ancient Near Eastern Art,Sherd,Sherd,Iran,Iranian,-3505,-3100,"Ceramic, paint","Rogers Fund, 1938",Iran
325714,Ancient Near Eastern Art,Sculpture,Bird standard,Southeastern Iran,Iranian,-2500,-2500,Copper alloy,"Purchase, Schimmel Foundation Inc. Gift, 1965",Iran
327150,Ancient Near Eastern Art,Bead,Bead,Syria,Syrian,-7000,-5000,Calcite,"Gift of Sheldon and Barbara Breitbart, 1985",Syria
339097,Drawings and Prints,Print; Poster,New York Ledger: Bicycle Number,American,American,1895,1895,Lithograph,"Gift of Bessie Potter Vonnoh, 1941",United States
339407,Drawings and Prints,Drawing,Figure Studies,Italian,Italian,1696,1770,"Pen and brown ink, over black chalk, on beige paper","Rogers Fund, 1964",Italy
341146,Drawings and Prints,Print,Reciprocated Love,Italian,Italian,1584,1600,Engraving,"Harris Brisbane Dick Fund, 1927",Italy
341485,Drawings and Prints,Print,"Rest on the flight into Egypt, Mary holding and looking at the infant Christ while St. Joseph reads",Italian,Italian,1632,1642,Etching,"Harris Brisbane Dick Fund, 1926",Italy
345964,Drawings and Prints,Book,Meubles Modernes,French,French,1875,1890,Chromolithography,"A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest, 1987",France
346186,Drawings and Prints,Book,Blossoms of Childhood,American,American,1840,1840,Illustrations: wood engraving,"Anonymous Gift, 1941",United States
347789,Drawings and Prints,Book,"The Comical History of Lord Flutter, Lord Spindle and Sir Harry Hopscotch; or, the Bee, the Wasp, and the Ant",British,British,1800,1900,"Wood engraving, hand colored","Gift of Lincoln Kirstein, 1964",United Kingdom
350011,Drawings and Prints,Book,"Seamless Plain Solid Gold Rings, Engraved Rings, Diamond Rings, Mountings, Ladies' Stone Rings, Chains, Diamond Cutters",American,American,1902,1902,Illustrations: photomechanical process,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",United States
350542,Drawings and Prints,Book,"Performing Tea Ceremony, The Miyako Odori for 1935, and eight stage sets",Japan,Japanese,1930,1940,Illustrations: photographic method and color prints,"Gift of Lincoln Kirstein, 1986",Japan
353752,Drawings and Prints,Book,Plates in Missel de Notre-Dame de France,French,French,1899,1899,No medium,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1963",France
355115,Drawings and Prints,Book,"Exposition Lorraine. L'École de Nancy au Musée de l'Union Centrale des Arts Décoratifs. Pavillon de Marsan, A Paris. Ier Série: Le Moblier",French,French,1900,1910,Heliotype print,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",France
357808,Drawings and Prints,Book,Enoch Arden,British,British,1866,1866,Illustrations: wood engraving,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",United Kingdom
360463,Drawings and Prints,Drawing,"St. Peter's, exterior, tabernacle, elevation and section at base with details of pedestal and railing, (recto)St. Peter's, exterior, tabernacle, elevation and section at arched opening (verso)",French,French,1500,1560,"Dark brown ink, black chalk, and incised lines","Gift of Janos Scholz and Anne Bigelow Scholz, in memory of Flying Officer Walter Bigelow Rosen, RCAF, 1949",France
360750,Drawings and Prints,Print,Head of a muscular old man in profile to left with flowing hair,Italian|Bohemian,Italian|Bohemian,1625,1677,Etching; only state,"Purchase, Joseph Pulitzer Bequest, 1917",Italy
363070,Drawings and Prints,Print,"View of the Basilica of San Sebastiano fuori delle mura [St. Sebastian outside the Walls] on the Appian Way, from Vedute di Roma (Roman Views)",Italian,Italian,1745,1755,Etching; first state of four (Hind),"Gift of Mrs. David Keppel, 1960",Italy
363754,Drawings and Prints,Drawing,Design for Pointed Utensil with an Egyptian Style Figure on the Handle,Italian,Italian,1548,1612,"Pen and brown ink, brush and brown wash, over black chalk.","Mrs. Regina Slatkin, 1963",Italy
365646,Drawings and Prints,Drawing,Saint Paul,Italian,Italian,1591,1666,"Pen and brown ink, brush and brown ink, over lead point or graphite.","Gift of Cornelius Vanderbilt, 1880",Italy
367617,Drawings and Prints,Drawing Ornament & Architecture,Francis W. Little House: Furniture Plan,American,American,1908,1914,Graphite and orange and brown pencil,"Purchase, Emily Crane Chadborne Bequest, 1972",United States
371229,Drawings and Prints,Print,"Theodoric IV from the series Counts and Countesses of Holland, Zeeland, and West-Frisia",Dutch,Dutch,1650,1650,Engraving and etching; second state of three,"Gift of Mrs. Hugo Elliot, 1941",Netherlands
377953,Drawings and Prints,Book,L'Art de bâtir des maisons de Campagne,French,French,1743,1743,Printed book with engraved illustrations,"Rogers Fund, 1952",France
378518,Drawings and Prints,Drawing,"Design for Vis-à-vis, no. 3223",American,American,1876,1949,"Pen and black ink, watercolor and gouache with gum arabic","Gift of William Brewster, 1923",United States
378914,Drawings and Prints,Drawing,"Design for Pony Phaeton, no. 3162",American,American,1875,1875,"Pen and black ink, watercolor and gouache","Gift of William Brewster, 1923",United States
386510,Drawings and Prints,Drawing ; Ornament and architecture,"Ceiling Design, Half of a Circle",British,British,1800,1899,Watercolor with gold,"Gift of the Royal Institute of British Architects, 1961",United Kingdom
391909,Drawings and Prints,Print,Canal with an Angler and Two Swans,Dutch,Dutch,1643,1653,Etching and drypoint; second of two states,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",Netherlands
396269,Drawings and Prints,Print,GERYON,American,American,1957,1957,"Etching, aquatint and drypoint; states 1-8","John B. Turner Fund, 2011",United States
397577,Drawings and Prints,Print,"Syzygy or the Conjunction of the Macrocosmic Unity with the Microcosmic Triunity from Heinrich Khunrath, Amphiteatrum sapientiae aeternae",Netherlandish|German,Netherlandish|German,1535,1611,Engraving from a circular plate,"Purchase, C. G. Boerner Gift, 2011",Germany
399078,Drawings and Prints,Print,Horse Group #17,American,American,1935,1943,Lithograph,"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",United States
399085,Drawings and Prints,Print,Whither Mankind,American,American,1935,1943,Silkscreen,"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",United States
